SaleID,Time,Service_Arts_time,Service_Elem_School_time,Service_Golf_time,Service_Gym_time,Service_High_School_time,Service_Historic_time,Service_ISU_time,Service_Library_time,Service_Medical_time,Service_Organic_Groceries_time,Service_Park_time,Service_Recreation_time,Service_Religion_time,Service_Restaurant_time,Service_Shopping_time,Service_Spa_time,Closest_5_feature,Closest_all_feature,Central_historic_feature,num_biz_180s_feature,num_biz_480s_feature,Rcrd_Yr,Inst1_Yr,LotArea,YrBuilt,TtlBsmtSF,Fireplaces,PoolArea,GarYrBlt,Cars,GarageArea,TotalArea,TotalArea_Gar,Has_Fireplace,Has_Garage,Has_Bsmt,AsbShng_Ext,BrkComm_Ext,BrkFace_Ext,CemntBd_Ext,HdBoard_Ext,ImStucc_Ext,MetalSd_Ext,No Data_Ext,Plywood_Ext,Stone_Ext,Stucco_Ext,VinylSd_Ext,Wd Sdng_Ext,WdShing_Ext,2 Types_GrType,Attachd_GrType,Basment_GrType,BuiltIn_GrType,Carport_GrType,Detachd_GrType,No Data_GrType,None_GrType,1_Story_HsStyle,1_5_Fin_HsStyle,1_5_Unf_HsStyle,2_Story_HsStyle,2_5_Fin_HsStyle,2_5_Unf_HsStyle,No_Data_HsStyle,S_Foyer_HsStyle,S_Level_HsStyle
158,282.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,374.12,521.1722222222222,563.5,0,8,2021.0,2021.0,10200.0,2020.0,1877.0,1.0,0.0,2020.0,3.0,859.0,3522.0,4381.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
168,271.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,364.54,512.1277777777777,551.9,0,8,2021.0,2021.0,10727.0,2016.0,2015.0,1.0,0.0,2016.0,3.0,807.0,4045.0,4852.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
171,272.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,365.62,512.9277777777778,553.7,0,8,2021.0,2021.0,10727.0,2020.0,1820.0,1.0,0.0,2020.0,3.0,883.0,3757.0,4640.0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
178,302.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,378.14,530.1055555555555,583.6,0,8,2021.0,2021.0,12421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
197,330.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,365.91999999999996,535.3555555555555,610.9,0,8,2021.0,2021.0,12971.0,2020.0,2634.0,2.0,0.0,2020.0,3.0,919.0,5268.0,6187.0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
207,208.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,318.91999999999996,505.30555555555554,618.3,0,10,2021.0,2021.0,9200.0,2018.0,1872.0,1.0,0.0,2018.0,3.0,840.0,3744.0,4584.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
219,242.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,345.58000000000004,531.9222222222222,652.9,0,9,2021.0,2021.0,14202.0,2020.0,1752.0,0.0,0.0,2020.0,3.0,959.0,3504.0,4463.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
251,243.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,346.28000000000003,532.6222222222223,653.6,0,9,2021.0,2021.0,9891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
280,63.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,96.02,251.17222222222225,237.8,5,17,2021.0,2021.0,11160.0,1968.0,2110.0,2.0,0.0,1968.0,2.0,522.0,4220.0,4742.0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
299,261.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,357.65999999999997,506.18888888888887,542.6,0,8,2021.0,2021.0,5494.0,2018.0,1478.0,1.0,0.0,2018.0,2.0,530.0,2956.0,3486.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
